session_ID,trial_ID,subject_ID,cohort_ID,response_time_sec,response_decision,trial_condition,shape_description,angular_disparity,object_angles,thumbstick_angle,thumbstick_time_sec,action_count,action_angles,action_durations,first_action_onset,last_action_offset,action_time_intervals,vr_setup
2,10,0xFB,-1,1.499512,Match,Match,lllllbbul,0,"{'1': 48.88592489101419, '2': 48.88592489101419}",[],[],0.0,{},{},0.0,1.499512,{},Action
2,11,0xFB,-1,4.119141,Match,Match,bdddllbbb,60,"{'1': 36.15915843374441, '2': 336.15915843374444}",[],[],0.0,{},{},0.0,4.119141,{},Action
2,12,0xFB,-1,1.671997,Match,Match,rrrrbbbdr,0,"{'1': 67.90641730513417, '2': 67.90641730513417}",[],[],0.0,{},{},0.0,1.671997,{},Action
2,13,0xFB,-1,4.211548,Match,Match,dbbbblllu,60,"{'1': 288.08002615997464, '2': 228.08002615997466}","[0.0, 0.62, 1.68, 4.09, 7.64, 11.2, 15.67, 20.15, 24.68, 29.25, 33.89, 38.61, 43.36, 48.16, 52.96, 57.77, 62.58, 67.39, 72.21, 77.12, 82.03]","[2.489014, 2.503296, 2.516968, 2.531006, 2.544922, 2.55835, 2.572388, 2.586304, 2.600098, 2.614136, 2.628174, 2.642212, 2.655518, 2.669556, 2.683594, 2.697144, 2.711304, 2.725342, 2.739014, 2.75293, 2.766968]",1.0,{'1': 79.59283801111279},{'1': 0.28000000000000025},2.48,2.76,"{'1': {'start': 2.48, 'end': 2.7600000000000002}}",Action
2,14,0xFB,-1,2.541382,Match,Match,bddrddddd,60,"{'1': 314.37211754166, '2': 14.372117541659968}",[],[],0.0,{},{},0.0,2.541382,{},Action
2,15,0xFB,-1,7.650757,Match,Match,ffuulllbb,180,"{'1': 313.7304945010443, '2': 133.7304945010443}",[],[],0.0,{},{},0.0,7.650757,{},Action
2,16,0xFB,-1,1.641846,Match,Match,uuuuubbul,60,"{'1': 40.43748436218127, '2': 100.43748436218127}",[],[],0.0,{},{},0.0,1.641846,{},Action
2,17,0xFB,-1,3.517334,Match,Match,uubbbbruu,60,"{'1': 214.38208170396663, '2': 154.38208170396663}",[],[],0.0,{},{},0.0,3.517334,{},Action
2,18,0xFB,-1,1.592407,Match,Match,dbbbblllu,0,"{'1': 148.45875498110837, '2': 148.45875498110837}",[],[],0.0,{},{},0.0,1.592407,{},Action
2,19,0xFB,-1,4.405518,Match,Match,bdddbllll,180,"{'1': 118.33444845966783, '2': 298.33444845966784}",[],[],0.0,{},{},0.0,4.405518,{},Action
2,20,0xFB,-1,1.389038,Match,Match,bbbdddrrb,0,"{'1': 223.81530946512058, '2': 223.81530946512058}",[],[],0.0,{},{},0.0,1.389038,{},Action
2,21,0xFB,-1,4.150879,Match,Match,uuuuubbul,180,"{'1': 240.83319332182907, '2': 60.833193321829086}",[],[],0.0,{},{},0.0,4.150879,{},Action
2,22,0xFB,-1,3.321411,Match,Match,uuuubbbur,0,"{'1': 238.85679465416692, '2': 238.85679465416692}",[],[],0.0,{},{},0.0,3.321411,{},Action
2,23,0xFB,-1,9.433838,Match,Match,bdddbllll,180,"{'1': 232.8212418432721, '2': 52.821241843272105}",[],[],0.0,{},{},0.0,9.433838,{},Action
2,24,0xFB,-1,2.222778,Match,Match,uuubbrrrf,60,"{'1': 150.00883209073515, '2': 90.00883209073515}",[],[],0.0,{},{},0.0,2.222778,{},Action
2,25,0xFB,-1,5.621338,Mismatch,Mismatch,uubbbbruu,120,"{'1': 52.57266050221438, '2': 292.5726605022144}",[],[],0.0,{},{},0.0,5.621338,{},Action
2,26,0xFB,-1,5.670288,Mismatch,Mismatch,rbbbbbldd,0,"{'1': 343.83454466454566, '2': 343.83454466454566}",[],[],0.0,{},{},0.0,5.670288,{},Action
2,27,0xFB,-1,3.030518,Mismatch,Mismatch,rbbbbbbub,120,"{'1': 161.73957628770705, '2': 41.73957628770705}",[],[],0.0,{},{},0.0,3.030518,{},Action
2,28,0xFB,-1,6.068848,Mismatch,Mismatch,ffffuulff,60,"{'1': 299.5500606228896, '2': 359.5500606228896}",[],[],0.0,{},{},0.0,6.068848,{},Action
2,29,0xFB,-1,3.306641,Mismatch,Mismatch,bbddbblll,60,"{'1': 21.984312631901275, '2': 321.9843126319013}",[],[],0.0,{},{},0.0,3.306641,{},Action
2,30,0xFB,-1,6.807739,Mismatch,Mismatch,llbbbrruu,0,"{'1': 324.7645386565817, '2': 324.7645386565817}","[0.0, 0.49, 3.4, 6.74, 10.31, 14.24, 18.52, 23.18, 27.98, 32.87, 37.77, 42.68, 47.59, 52.5, 57.41, 62.32, 67.24, 72.23, 73.3, 73.3, 73.3, 73.49, 73.69, 73.94, 74.26, 74.62, 75.06, 75.68, 76.55, 77.57, 78.63, 79.69, 80.76, 81.84, 82.92, 84.0, 85.1, 86.19, 87.18, 87.38, 90.93, 94.52, 98.11, 101.73, 105.37, 109.05, 112.95, 116.93, 120.95, 125.09, 129.38, 133.76, 138.13, 142.62, 147.15, 151.75, 156.42, 161.17, 165.96, 170.76, 175.58, 180.46, 185.37, 190.3, 195.27, 199.36, 202.34, 205.09, 207.59, 209.71, 211.56, 213.03]","[1.887207, 1.901123, 1.915039, 1.928833, 1.942627, 1.956543, 1.970337, 1.984131, 1.998291, 2.012207, 2.025879, 2.039917, 2.053955, 2.067505, 2.081543, 2.096191, 2.123779, 2.137817, 2.932251, 2.946411, 2.960205, 2.973633, 2.987793, 3.001587, 3.015381, 3.029663, 3.043579, 3.057251, 3.070679, 3.084961, 3.099121, 3.112549, 3.126587, 3.140747, 3.154297, 3.168091, 3.182373, 3.196289, 3.209717, 4.793091, 4.807495, 4.821411, 4.835083, 4.849121, 4.863037, 4.877075, 4.890381, 4.904541, 4.918457, 4.932007, 4.946289, 4.960083, 4.973755, 4.987915, 5.001709, 5.015381, 5.029419, 5.043457, 5.057495, 5.070923, 5.085327, 5.099121, 5.112549, 5.126831, 5.141724, 5.154419, 5.168335, 5.182739, 5.196289, 5.209595, 5.223877, 5.238037]",2.0,"{'1': 72.23294021907421, '2': 60.42600313380082}","{'1': 0.26, '2': 0.4500000000000002}",1.88,5.23,"{'1': {'start': 1.8800000000000001, 'end': 2.14}, '2': {'start': 4.78, 'end': 5.23}}",Action
2,31,0xFB,-1,6.446289,Mismatch,Mismatch,ffuubrrrr,60,"{'1': 39.45211153867348, '2': 99.45211153867348}",[],[],0.0,{},{},0.0,6.446289,{},Action
2,32,0xFB,-1,6.558228,Mismatch,Mismatch,ddbbddddl,120,"{'1': 300.9607029537999, '2': 180.9607029537999}",[],[],0.0,{},{},0.0,6.558228,{},Action
