session_ID,trial_ID,subject_ID,cohort_ID,response_time_sec,response_decision,trial_condition,shape_description,angular_disparity,object_angles,vr_setup
2,40,0xFB,-1,5.752686,Mismatch,Mismatch,bbbdddrrb,180,"{'1': 294.278615462114, '2': 114.27861546211398}",No-Action
2,41,0xFB,-1,12.69519,Mismatch,Mismatch,llbbbrruu,180,"{'1': 286.9098219050356, '2': 106.90982190503559}",No-Action
2,42,0xFB,-1,3.16394,Mismatch,Mismatch,ffuuuurrf,180,"{'1': 221.09142116161618, '2': 41.09142116161618}",No-Action
2,43,0xFB,-1,4.494385,Mismatch,Mismatch,ffuulllbb,0,"{'1': 47.84840650985955, '2': 47.84840650985955}",No-Action
2,44,0xFB,-1,7.778931,Mismatch,Mismatch,uuubbrrrf,180,"{'1': 303.2958236702114, '2': 123.29582367021138}",No-Action
2,45,0xFB,-1,5.768799,Mismatch,Mismatch,bdddllbbb,60,"{'1': 162.30384336327114, '2': 222.30384336327114}",No-Action
2,46,0xFB,-1,21.81921,Mismatch,Mismatch,ddbbddddl,60,"{'1': 20.532961757513526, '2': 80.53296175751353}",No-Action
2,47,0xFB,-1,5.628296,Mismatch,Mismatch,bbddbblll,0,"{'1': 117.10174008489184, '2': 117.10174008489184}",No-Action
2,48,0xFB,-1,5.193481,Mismatch,Mismatch,ddbbddddl,180,"{'1': 21.67230921467345, '2': 201.67230921467345}",No-Action
2,49,0xFB,-1,5.265137,Mismatch,Mismatch,ffffuulff,180,"{'1': 333.8587752913037, '2': 153.8587752913037}",No-Action
3,0,0xFB,1,3.822754,Match,Match,bdddbllll,0,"{'1': 52.91861761483567, '2': 52.91861761483567}",No-Action
3,1,0xFB,1,7.050293,Match,Match,lllbbbubb,120,"{'1': 17.648447864990295, '2': 137.6484478649903}",No-Action
3,2,0xFB,1,1.330566,Match,Match,bdddllbbb,0,"{'1': 323.68654722111233, '2': 323.68654722111233}",No-Action
3,3,0xFB,1,1.887451,Match,Match,rbbbdddff,0,"{'1': 209.7655225309319, '2': 209.7655225309319}",No-Action
3,4,0xFB,1,8.656006,Match,Match,rrrrbbbdr,180,"{'1': 304.09194055990326, '2': 124.09194055990326}",No-Action
3,5,0xFB,1,5.84668,Match,Match,ddbbddddl,60,"{'1': 51.39973507264532, '2': 351.39973507264534}",No-Action
3,6,0xFB,1,2.127686,Match,Match,rrrrbbbdr,0,"{'1': 128.50402536639388, '2': 128.50402536639388}",No-Action
3,7,0xFB,1,1.796875,Match,Match,ffuulllbb,0,"{'1': 151.05211282187008, '2': 151.05211282187008}",No-Action
3,8,0xFB,1,1.360596,Match,Match,rbbbbbbub,0,"{'1': 67.47656459594786, '2': 67.47656459594786}",No-Action
3,9,0xFB,1,4.919922,Match,Match,lllbbbluu,180,"{'1': 223.27059667450027, '2': 43.27059667450027}",No-Action
3,10,0xFB,1,2.333008,Match,Match,rrrrbbbdr,0,"{'1': 119.39171623680613, '2': 119.39171623680613}",No-Action
3,11,0xFB,1,4.041992,Match,Match,llbbbbbru,180,"{'1': 320.5405542825008, '2': 140.5405542825008}",No-Action
3,12,0xFB,1,2.028076,Match,Match,bbbdddrrb,0,"{'1': 339.6540141721071, '2': 339.6540141721071}",No-Action
3,13,0xFB,1,3.865479,Mismatch,Match,ffuulllbb,60,"{'1': 238.25576979704107, '2': 298.25576979704107}",No-Action
3,14,0xFB,1,2.361084,Match,Match,bbddbblll,0,"{'1': 56.46258018039333, '2': 56.46258018039333}",No-Action
3,15,0xFB,1,6.738037,Match,Match,ffuulllbb,180,"{'1': 324.4405639480044, '2': 144.4405639480044}",No-Action
3,16,0xFB,1,2.206787,Match,Match,llbbbbbru,0,"{'1': 59.737230314385215, '2': 59.737230314385215}",No-Action
3,17,0xFB,1,9.460938,Match,Match,ffffuulff,60,"{'1': 128.11380594667577, '2': 68.11380594667577}",No-Action
3,18,0xFB,1,4.653809,Match,Match,bbbdddrrb,0,"{'1': 62.962237572266424, '2': 62.962237572266424}",No-Action
3,19,0xFB,1,3.11084,Match,Match,bdddbllll,120,"{'1': 105.49823388367147, '2': 225.49823388367147}",No-Action
3,20,0xFB,1,4.72583,Match,Match,bbbdddrrb,180,"{'1': 198.73080974903075, '2': 18.730809749030755}",No-Action
3,21,0xFB,1,5.802979,Match,Match,rrrbbbddb,120,"{'1': 74.4947671598909, '2': 314.4947671598909}",No-Action
3,22,0xFB,1,3.125732,Match,Match,rbbbbbbub,120,"{'1': 72.4788232515303, '2': 312.4788232515303}",No-Action
3,23,0xFB,1,2.802246,Match,Match,bbbdddrrb,60,"{'1': 33.12076335100871, '2': 93.12076335100872}",No-Action
3,24,0xFB,1,3.096436,Match,Match,ffuubllll,0,"{'1': 206.2812260441882, '2': 206.2812260441882}",No-Action
3,25,0xFB,1,2.550781,Mismatch,Mismatch,uuubbrrrf,120,"{'1': 213.93424797895204, '2': 333.93424797895204}",No-Action
3,26,0xFB,1,2.8125,Mismatch,Mismatch,ddbbddddl,120,"{'1': 160.85579308718528, '2': 280.85579308718525}",No-Action
3,27,0xFB,1,4.586182,Mismatch,Mismatch,uuubbrrrf,180,"{'1': 144.22180622868865, '2': 324.22180622868865}",No-Action
3,28,0xFB,1,5.892334,Mismatch,Mismatch,rbbbbbbub,0,"{'1': 322.20147016789804, '2': 322.20147016789804}",No-Action
3,29,0xFB,1,3.412842,Mismatch,Mismatch,bbdddbrrr,180,"{'1': 55.07087187033835, '2': 235.07087187033835}",No-Action
3,30,0xFB,1,2.748779,Mismatch,Mismatch,llbbbbbru,60,"{'1': 292.7549137362043, '2': 232.7549137362043}",No-Action
3,31,0xFB,1,7.072754,Mismatch,Mismatch,ffuulllbb,0,"{'1': 216.3213066188214, '2': 216.3213066188214}",No-Action
3,32,0xFB,1,4.765869,Mismatch,Mismatch,bddrddddd,0,"{'1': 304.54398590382146, '2': 304.54398590382146}",No-Action
3,33,0xFB,1,8.574951,Mismatch,Mismatch,ffuubrrrr,60,"{'1': 138.43345805264732, '2': 198.43345805264732}",No-Action
3,34,0xFB,1,6.754395,Mismatch,Mismatch,uubbbbruu,180,"{'1': 72.32518596984758, '2': 252.32518596984758}",No-Action
3,35,0xFB,1,5.199463,Mismatch,Mismatch,ffuubrrrr,0,"{'1': 250.0897994531973, '2': 250.0897994531973}",No-Action
3,36,0xFB,1,17.82324,Mismatch,Mismatch,dbbbblllu,180,"{'1': 58.95692502486601, '2': 238.956925024866}",No-Action
3,37,0xFB,1,10.13013,Mismatch,Mismatch,bbbdddrrb,180,"{'1': 331.09243267668626, '2': 151.09243267668626}",No-Action
3,38,0xFB,1,5.584229,Mismatch,Mismatch,ffuubrrrr,180,"{'1': 290.2919120531361, '2': 110.29191205313612}",No-Action
3,39,0xFB,1,12.26538,Mismatch,Mismatch,uuuubbbur,0,"{'1': 217.9391467494666, '2': 217.9391467494666}",No-Action
3,40,0xFB,1,4.705566,Mismatch,Mismatch,bdddddfll,60,"{'1': 29.99475420499872, '2': 329.99475420499874}",No-Action
3,41,0xFB,1,5.112305,Mismatch,Mismatch,rrrbbbddb,0,"{'1': 286.7657186054479, '2': 286.7657186054479}",No-Action
3,42,0xFB,1,13.40552,Mismatch,Mismatch,rrrrbbbdr,120,"{'1': 340.8552567991119, '2': 220.8552567991119}",No-Action
3,43,0xFB,1,8.07251,Mismatch,Mismatch,bbdddbrrr,180,"{'1': 162.4504655746141, '2': 342.4504655746141}",No-Action
3,44,0xFB,1,13.26172,Mismatch,Mismatch,lllllbbul,180,"{'1': 203.17578337818736, '2': 23.17578337818736}",No-Action
3,45,0xFB,1,6.794434,Mismatch,Mismatch,lllbbbubb,180,"{'1': 337.03440975231257, '2': 157.03440975231257}",No-Action
3,46,0xFB,1,18.48779,Mismatch,Mismatch,ffffuulff,60,"{'1': 134.33201062548548, '2': 74.33201062548548}",No-Action
3,47,0xFB,1,14.20776,Mismatch,Mismatch,dbbbblllu,60,"{'1': 201.79349342356906, '2': 261.7934934235691}",No-Action
3,48,0xFB,1,7.487793,Mismatch,Mismatch,bddddddrd,60,"{'1': 200.01843252943627, '2': 260.01843252943627}",No-Action
3,49,0xFB,1,3.974854,Mismatch,Mismatch,rbbbbbbub,120,"{'1': 328.5853477843259, '2': 88.5853477843259}",No-Action
6,0,0xBA,2,8.224609,Match,Match,bbddbblll,180,"{'1': 315.30876705875914, '2': 135.30876705875914}",No-Action
6,1,0xBA,2,3.79361,Match,Match,ffuulllbb,120,"{'1': 197.3107371694543, '2': 77.31073716945434}",No-Action
6,2,0xBA,2,4.15625,Match,Match,uuuubbbur,60,"{'1': 231.27511620163756, '2': 291.27511620163756}",No-Action
6,3,0xBA,2,3.683838,Match,Match,lbbddllll,60,"{'1': 40.56839166257606, '2': 340.56839166257606}",No-Action
6,4,0xBA,2,6.570648,Match,Match,lbbddllll,0,"{'1': 50.10220194008181, '2': 50.10220194008181}",No-Action
6,5,0xBA,2,6.636719,Match,Match,bddrddddd,120,"{'1': 66.78189000657758, '2': 306.78189000657756}",No-Action
6,6,0xBA,2,1.781616,Match,Match,ffuulllbb,60,"{'1': 109.34564071492241, '2': 169.3456407149224}",No-Action
6,7,0xBA,2,9.637146,Match,Match,rbbbdddff,120,"{'1': 130.49995340204288, '2': 10.499953402042877}",No-Action
6,8,0xBA,2,1.944672,Match,Match,rrrbbbddb,0,"{'1': 74.03304278999094, '2': 74.03304278999094}",No-Action
6,9,0xBA,2,3.305969,Match,Match,bdddddfll,60,"{'1': 124.18790901317558, '2': 64.18790901317558}",No-Action
6,10,0xBA,2,1.572693,Match,Match,rbbbbbldd,0,"{'1': 204.65238846055797, '2': 204.65238846055797}",No-Action
6,11,0xBA,2,3.163574,Match,Match,ffuuuurrf,60,"{'1': 339.30144148243784, '2': 279.30144148243784}",No-Action
6,12,0xBA,2,3.601227,Match,Match,bdddbllll,0,"{'1': 227.23092463341032, '2': 227.23092463341032}",No-Action
6,13,0xBA,2,6.172119,Match,Match,ffuuuurrf,120,"{'1': 66.24986329575583, '2': 186.24986329575583}",No-Action
6,14,0xBA,2,6.286591,Match,Match,bddrddddd,180,"{'1': 324.1287128877964, '2': 144.12871288779638}",No-Action
6,15,0xBA,2,4.746841,Match,Match,rrrbbbddb,60,"{'1': 20.78654450879716, '2': 320.7865445087972}",No-Action
6,16,0xBA,2,4.623352,Match,Match,llbbbbbru,120,"{'1': 337.1362721077407, '2': 217.13627210774067}",No-Action
6,17,0xBA,2,2.476166,Match,Match,ffuubrrrr,60,"{'1': 222.1015434796796, '2': 282.1015434796796}",No-Action
6,18,0xBA,2,7.043182,Match,Match,bbddbblll,180,"{'1': 323.8362123068004, '2': 143.8362123068004}",No-Action
6,19,0xBA,2,7.359283,Match,Match,ffuuuurrf,120,"{'1': 299.1264029932808, '2': 59.12640299328079}",No-Action
6,20,0xBA,2,3.795959,Match,Match,rbbbbbbub,120,"{'1': 161.8952181803216, '2': 41.89521818032159}",No-Action
6,21,0xBA,2,2.763275,Match,Match,llbbbbbru,120,"{'1': 344.9475495811423, '2': 224.94754958114234}",No-Action
6,22,0xBA,2,1.740173,Match,Match,bddddddrd,0,"{'1': 50.36266026622357, '2': 50.36266026622357}",No-Action
6,23,0xBA,2,1.977402,Match,Match,bbbdddrrb,0,"{'1': 201.43893210030396, '2': 201.43893210030396}",No-Action
6,24,0xBA,2,14.40427,Match,Match,uubbbrrrb,180,"{'1': 55.070875370514074, '2': 235.07087537051407}",No-Action
6,25,0xBA,2,5.484802,Mismatch,Mismatch,bddddddrd,180,"{'1': 128.12205955971416, '2': 308.12205955971416}",No-Action
6,26,0xBA,2,5.205093,Mismatch,Mismatch,rrrrbbbdr,0,"{'1': 124.92721490562091, '2': 124.92721490562091}",No-Action
6,27,0xBA,2,7.974396,Mismatch,Mismatch,ffuubrrrr,60,"{'1': 206.20660411733138, '2': 266.2066041173314}",No-Action
6,28,0xBA,2,5.812012,Mismatch,Mismatch,rbbbdddff,60,"{'1': 289.5332092130355, '2': 349.5332092130355}",No-Action
6,29,0xBA,2,9.108124,Match,Mismatch,uubbbbruu,0,"{'1': 62.74224955292495, '2': 62.74224955292495}",No-Action
6,30,0xBA,2,5.617828,Match,Mismatch,rrrrbbbdr,120,"{'1': 246.8747450391303, '2': 6.874745039130275}",No-Action
6,31,0xBA,2,5.455231,Mismatch,Mismatch,bbdddbrrr,180,"{'1': 242.4605042219436, '2': 62.46050422194361}",No-Action
6,32,0xBA,2,2.900208,Mismatch,Mismatch,lllllbbul,0,"{'1': 226.33120364797915, '2': 226.33120364797915}",No-Action
6,33,0xBA,2,5.704361,Mismatch,Mismatch,ffuubrrrr,0,"{'1': 113.72457940279365, '2': 113.72457940279365}",No-Action
